,cnt,expint,fdct,fibcall,insertsort,matmult,ns,geomean
UMC,1.00,1.00,1.68,1.00,3.48,1.92,1.00,1.41 
CFP,1.45,2.58,1.00,2.23,1.13,1.00,2.29,1.55
