,cnt,expint,fdct,fibcall,insertsort,matmult,ns,geomean
umc,1.60,1.03,1.44,1.05,1.19,1.40,1.74,1.33
cfp,1.62,1.30,1.09,1.45,1.73,1.73,1.37,1.45 
