LRC,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10% Headstart Slack / Main Task WCET
compress,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
crc,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
edn,83%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
jfdc,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
statemate,82%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%

