LRC,0%,50%,100%,150%,200%,250%,300%,350%,400%,450%,500%,550%,600% Headstart Slack / Main Task WCET
compress,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
crc,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
edn,83%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
fir,91%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
jfdc,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
statemate,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%

