UMC,0%,50%,100%,150%,200%,250%,300%,350%,400%,450%,500%,550%,600% Headstart Slack / Main Task WCET
compress,0%,4%,5%,9%,17%,26%,34%,41%,51%,59%,66%,67%,69%
crc,60%,77%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
edn,0%,13%,25%,35%,37%,38%,40%,42%,49%,94%,100%,100%,100%
fir,28%,35%,43%,44%,46%,66%,100%,100%,100%,100%,100%,100%,100%
insertsort,11%,24%,32%,42%,50%,58%,68%,74%,83%,93%,99%,100%,100%
jfdc,16%,29%,39%,52%,61%,71%,80%,89%,100%,100%,100%,100%,100%
nsichneu,0%,2%,5%,7%,10%,15%,17%,19%,22%,100%,100%,100%,100%
statemate,0%,5%,10%,14%,19%,24%,28%,33%,38%,44%,47%,49%,50%

