,compress,crc,edn,fir,insertsort,jfdc,nsichneu,statemate,average
UMC , 9.9 , 87.8 , 97.1 , 85.1 , 86.1 , 84.8 , 14.5 , 28.3 , 61.7 
RAC , 95.8 , 50.0 , 83.3 , 100.0 , 0 , 0.0 , 0 , 82.0 , 68.5 
DIFT , 3.8 , 93.3 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 88.3 , 85.7 


