UMC,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10% Headstart Slack / Main Task WCET
compress,10%,74%,81%,90%,91%,100%,100%,100%,100%,100%,100%
crc,88%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%
edn,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
fir,85%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
insertsort,86%,86%,98%,100%,100%,100%,100%,100%,100%,100%,100%
jfdc,85%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
nsichneu,15%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
statemate,28%,38%,41%,43%,46%,45%,46%,46%,47%,47%,48%
